cliente_id,nome_cliente,device,cad_device
350,Ana Silva,a9283d9gn0sakfadm,02/01/2025
351,Daniela Costa,f819203ka012lsak9,23/09/2024
355,Nicolas Martins,z901823mk102lsak0,09/11/2024
361,Gabriel Santos,x019283ka9102mzk9,28/01/2025
366,Helena Oliveira,p91028310amks019a,29/03/2026
370,Bruno Souza,m918203ak102lsak8,22/09/2024
375,Mariana Ribeiro,c910283910amkz912,21/03/2025
380,Karen Alves,v910283910amks019,03/06/2025
382,Igor Machado,b910283910amkz912,10/08/2024
388,Julia Gomes,n910283910amks019,11/02/2024
390,Lucas Fernandes,k910283910amkz912,17/04/2026
392,Eduardo Pereira,q910283910amks019,03/11/2025
395,Olivia Rocha,w910283910amkz912,17/02/2024
399,Carlos Eduardo,e910283910amks019,29/06/2025
400,Fernanda Lima,r910283910amkz912,11/06/2026
401,Amanda Barbosa,k82f91m3p0slq19a2,17/04/2026
402,Rafael Lima,b491a82m19sklp029,16/08/2024
403,Juliana Martins,x918239ak102mzx91,26/06/2025
404,Thiago Rocha,m091283ka9102klsa,01/09/2025
405,Camila Almeida,p29103810kas9102a,12/03/2024
406,Leonardo Castro,z910283mka9012391,25/05/2025
407,Vanessa Carvalho,c910283910amks012,18/11/2025
408,Rodrigo Ribeiro,v91028391ak0291am,30/08/2026
409,Larissa Mendes,n910283910amks019,16/12/2025
410,Gustavo Cardoso,m910283910ak0192a,09/04/2024
411,Patricia Teixeira,a918203910amkz912,17/03/2024
412,Matheus Correia,q910283910amks019,06/08/2026
413,Beatriz Cavalcanti,w910283910amkz912,17/12/2024
414,Diego Dias,e910283910amks019,12/08/2026
415,Leticia Castro,r910283910amkz912,01/09/2024
416,Vinicius Fernandes,t910283910amks019,15/02/2024
417,Aline Moreira,y910283910amkz912,10/04/2026
418,Felipe Nunes,u910283910amks019,09/08/2025
419,Fernanda Monteiro,i910283910amkz912,22/06/2026
420,Lucas Barros,o910283910amks019,26/01/2025
421,Bianca Freitas,p910283910amkz912,28/12/2024
422,Gabriel Barbosa,a190283910amks019,21/01/2024
423,Natalia Ramos,s910283910amkz912,29/01/2026
424,Andre Vieira,d910283910amks019,05/09/2026
425,Mariana Lima,f910283910amkz912,27/07/2024
426,Caio Souza,g910283910amks019,07/08/2025
427,Priscila Santos,h910283910amkz912,18/10/2025
428,Bruno Oliveira,j910283910amks019,28/10/2025
429,Carolina Pereira,k910283910amkz912,12/07/2026
430,Daniel Rodrigues,l910283910amks019,10/02/2025
431,Jessica Alves,z190283910amkz912,04/07/2025
432,Marcelo Nascimento,x190283910amks019,20/12/2024
433,Renata Araujo,c190283910amkz912,15/08/2025
434,Eduardo Melo,v190283910amks019,14/07/2026
435,Tatiana Reis,b190283910amkz912,16/03/2025
436,Victor Cunha,n190283910amks019,17/09/2025
437,Gabriela Silva,m190283910amkz912,16/06/2024
438,Samuel Carvalho,q190283910amks019,05/02/2026
439,Luana Gomez,w190283910amkz912,06/10/2024
440,Igor Martins,e190283910amks019,03/08/2026
441,Isadora Franco,r190283910amkz912,05/05/2024
442,Renato Guimaraes,t190283910amks019,21/11/2024
443,Debora Marques,y190283910amkz912,17/06/2025
444,Henrique Santana,u190283910amks019,18/06/2025
445,Raquel Andrade,i190283910amkz912,31/12/2024
446,Arthur Soares,o190283910amks019,28/03/2026
447,Sabrina Duarte,p190283910amkz912,04/09/2026
448,Guilherme Pinto,a290283910amks019,15/03/2026
449,Milena Medeiros,s290283910amkz912,30/08/2026
450,Murilo Ramos,d290283910amks019,16/02/2026
