transacao_id,cliente_id,nome_cliente,data_transacao,hora_transacao,valor_transacao,tipo_transacao,canal,metodo,destinatario,status,motivo_detalhe,device
T6Y2U8I4,388,Julia Gomes,2026-09-18,16:20:55,420,Cartão de Crédito,Presencial,Cartão,Posto Ipiranga,Negada,Cartão bloqueado,
L1K2J3H5,390,Lucas Fernandes,2026-09-16,08:05:12,420,Cartão de Crédito,Presencial,Cartão,Restaurante Saboroso,Negada,Senha incorreta,
V1C2X3Z4,350,Ana Silva,2026-09-18,19:10:05,"399,99",Cartão de Crédito,Online,Device,Shopee,Aprovada,Sucesso,a9283d9gn0sakfadm
Y5U1I9O3,392,Eduardo Pereira,2026-09-17,13:40:15,350,Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,q910283910amks019
N1M2K3J4,395,Olivia Rocha,2026-09-17,15:22:30,350,Cartão de Crédito,Presencial,Cartão,Supermercado Extra,Negada,Falta de saldo,
J1K3L5Z7,366,Helena Oliveira,2026-09-16,14:25:30,320,Cartão de Crédito,Presencial,Cartão,Supermercado Extra,Negada,Senha incorreta,
H5G6F7D8,370,Bruno Souza,2026-09-18,07:05:10,315,Cartão de Crédito,Presencial,Cartão,Supermercado Extra,Negada,Senha incorreta,
T1Y2U3I4,375,Mariana Ribeiro,2026-09-18,14:10:05,"299,9",Cartão de Crédito,Online,Device,Kabum,Aprovada,Sucesso,c910283910amkz912
C4M9K3L2,400,Fernanda Lima,2026-09-16,08:45:12,250,Cartão de Crédito,Presencial,Cartão,Supermercado Extra,Negada,Senha incorreta,
Z9X8C7V7,382,Igor Machado,2026-09-16,13:11:11,250,Cartão de Crédito,Presencial,Cartão,Supermercado Extra,Negada,Falta de saldo,
T1Y2U3I5,392,Eduardo Pereira,2026-09-18,13:20:55,210,Cartão de Crédito,Online,Device,Shopee,Aprovada,Sucesso,q910283910amks019
M5N2B8V4,380,Karen Alves,2026-09-16,20:30:45,185,Cartão de Crédito,Presencial,Cartão,Supermercado Extra,Negada,Senha incorreta,
E1R2T3Y5,370,Bruno Souza,2026-09-18,18:45:15,180,Cartão de Crédito,Presencial,Cartão,Restaurante Saboroso,Negada,Senha incorreta,
Z1X2C3V5,382,Igor Machado,2026-09-17,10:45:33,180,Cartão de Débito,Presencial,Cartão,Supermercado Extra,Aprovada,Sucesso,
A2S3D4F5,366,Helena Oliveira,2026-09-16,18:30:22,150,Cartão de Débito,Presencial,Cartão,Supermercado Extra,Aprovada,Sucesso,
G9H8J7K6,351,Daniela Costa,2026-09-18,10:15:40,150,Cartão de Débito,Presencial,Cartão,Supermercado Extra,Aprovada,Sucesso,
M1N2B3V5,399,Carlos Eduardo,2026-09-17,18:45:33,140,Pix,Presencial,Cartão,Camila Nunes,Aprovada,Sucesso,
A9F4B2X1,350,Ana Silva,2026-09-18,14:32:10,"125,5",Cartão de Crédito,Online,Device,Amazon.com,Aprovada,Sucesso,a9283d9gn0sakfadm
T2Y4U6I8,395,Olivia Rocha,2026-09-16,19:15:25,125,Pix,Online,Device,Lucas Andrade,Aprovada,Sucesso,w910283910amkz912
E1R2T3Y4,351,Daniela Costa,2026-09-18,12:00:00,120,Pix,Online,Device,Juliana Mendes,Aprovada,Sucesso,f819203ka012lsak9
Q1A2Z3W4,399,Carlos Eduardo,2026-09-18,20:45:10,120,Cartão de Crédito,Presencial,Cartão,Restaurante Saboroso,Aprovada,Sucesso,
D9F8G7H7,350,Ana Silva,2026-09-17,15:05:15,120,Pix,Presencial,Cartão,Larissa Costa,Aprovada,Sucesso,
B1N2M3L5,390,Lucas Fernandes,2026-09-16,13:50:10,115,Cartão de Débito,Presencial,Cartão,Supermercado Extra,Aprovada,Sucesso,
Z1X2C3V4,399,Carlos Eduardo,2026-09-17,19:45:33,110,Pix,Presencial,Cartão,Loja ByteMix,Aprovada,Sucesso,
B5N6M7L9,399,Carlos Eduardo,2026-09-18,19:05:10,95,Cartão de Crédito,Presencial,Cartão,Restaurante Saboroso,Aprovada,Sucesso,
P0W3E5R7,350,Ana Silva,2026-09-16,18:22:30,"89,9",Cartão de Débito,Presencial,Cartão,Farmácia Pague Menos,Negada,Falta de saldo,
G5F6D7S8,375,Mariana Ribeiro,2026-09-18,11:55:01,"89,9",Cartão de Crédito,Online,Device,Amazon.com,Aprovada,Sucesso,c910283910amkz912
B5G6Y7H8,351,Daniela Costa,2026-09-18,12:05:45,"89,9",Pix,Online,Device,Larissa Costa,Aprovada,Sucesso,f819203ka012lsak9
X5C6V7B8,400,Fernanda Lima,2026-09-16,13:55:40,89,Pix,Online,Device,Renata Souza,Aprovada,Sucesso,r910283910amkz912
P9O8I7U7,355,Nicolas Martins,2026-09-17,16:22:30,89,Cartão de Débito,Presencial,Cartão,Posto Ipiranga,Negada,Senha incorreta,
W3E4R5T6,355,Nicolas Martins,2026-09-16,11:11:11,85,Cartão de Débito,Online,Device,Amazon.com,Aprovada,Sucesso,z901823mk102lsak0
X2C4V6B8,399,Carlos Eduardo,2026-09-17,11:10:15,85,Pix,Online,Device,Felipe Rocha,Aprovada,Sucesso,e910283910amks019
Q1W2E3R4,399,Carlos Eduardo,2026-09-17,13:40:15,"75,5",Pix,Presencial,Cartão,Beatriz Martins,Aprovada,Sucesso,
V5B6N7M8,380,Karen Alves,2026-09-17,12:45:30,65,Pix,Presencial,Cartão,Casa do Café Central,Aprovada,Sucesso,
Y5U6I7O8,366,Helena Oliveira,2026-09-17,17:40:15,65,Pix,Presencial,Cartão,Thiago Oliveira,Aprovada,Sucesso,
E1R2T3Y6,395,Olivia Rocha,2026-09-18,11:00:00,65,Pix,Presencial,Cartão,Renata Souza,Aprovada,Sucesso,
M1N2B3V4,382,Igor Machado,2026-09-17,20:45:33,60,Pix,Online,Device,Juliana Mendes,Aprovada,Sucesso,b910283910amkz912
O5P6A7S9,392,Eduardo Pereira,2026-09-16,22:20:50,60,Cartão de Crédito,Online,Device,Ifood,Aprovada,Sucesso,q910283910amks019
A9S8D7F6,380,Karen Alves,2026-09-17,19:45:00,55,Cartão de Débito,Presencial,Cartão,Posto Ipiranga,Aprovada,Sucesso,
V4C5X6Z7,380,Karen Alves,2026-09-16,19:40:15,55,Pix,Presencial,Cartão,Rafael Almeida,Aprovada,Sucesso,
T5Y6U7I9,350,Ana Silva,2026-09-18,21:20:55,55,Pix,Online,Device,Petshop Ponto Verde,Aprovada,Sucesso,a9283d9gn0sakfadm
